Nr.	Vocabolo inglese	Traduzione	Frase inglese	Traduzione frase
414	plan	piano	Do you have any plans for the summer holidays?	Avete già dei programmi per le vacanze estive?
415	figure	cifra	Those figure are pumped up	Quelle cifre sono pompate
416	star	stella	For me stars are a mystery	Per me le stelle sono un mistero
417	box	scatola	That box contains all my precious stones	Quella scatola contiene le mie pietre preziose
418	noun	nome	In grammar you study nouns, verbs and so on	In grammatica si studiano sostantivi, verbi e così via
419	field	campo	Fred’s sister is in the field of fashion	La sorella di Fred è nel campo della moda
420	rest	resto	The rest of the group will stay home	Il resto del gruppo rimarrà a casa
421	correct	corretto	Do you know the correct answer?	Conoscete la risposta esatta?
422	able	capace, abile	Jessica is an able designer	Jessica è una designer molto capace
423	pound	sterlina	Here a bottle of water costs 2 pounds	Qui una bottiglia d’acqua costa 2 sterline
424	done	passato di do	I’ve done all that I could	Ho fatto tutto ciò che ho potuto
425	beauty	bellezza	Can you see the beauty of this poem?	Percepisci la bellezza di questa poesia?
426	drive	guidare	Fred drives really fast	Fred guida molto veloce
427	stood	passato di stay	The dog stood on the threshold waiting for his owner	Il cane rimase sulla soglia in attesa del padrone
428	contain	contenere	What does that box contain?	Cosa contiene quella scatola?
429	front	davanti	The pub is in front of the bus stop	Il pub è davanti alla fermata dell’autobus
430	teach	insegnare	I’m going to teach you some words in Spanish	Ti insegnerò qualche parola in spagnolo
431	week	settimana	There are 52 weeks in a year	Ci sono 52 settimane in un anno
432	final	finale	My brother will bring me to the final match	Mio padre mi porterà a vedere lo scontro finale
433	gave	passato di give	I gave you all I had	I gave you all I had
434	green	verde	It’s hard to obtain the green card	E’ difficile ottenere la carta verde
435	oh	oh	Oh my God!	Oh mio Dio!
436	quick	rapido	How quick time flows!	Come scorre rapido il tempo!
437	develop	sviluppare	Develop your idea before presenting it to the boss	Sviluppa la tua idea prima di presentarla al capo
438	sleep	dormire	During the week she goes to sleep at 9.00	Durante la settimana lei va a letto alle 9.00
439	warm	caldo	Can green be considered a warm color?	Il verde può essere considerato un colore caldo?
440	free	libero	Feel free to contact us for further information	Sentiti libero di contattarci per ulteriori informazioni
441	minute	minuto	Dinner will be ready in a minute	La cena sarà pronta tra un minuto
442	strong	forte	Can I have a strong coffee?	Potrei avere un caffè forte?
443	special	speciale	There is a special gift for you	C’è un regalo speciale per te
444	mind	mente	We ignore a lot of the things mind can do	Ignoriamo molte delle cose che la mente può fare
445	behind	dietro	Right behind the post office there is a good pub	C’è un bel pub proprio dietro le poste
446	clear	chiaro	The intention of the government is not clear	L’intenzione del governo non è chiara
447	tail	coda	Do not pull the dog’s tail	Non tirare la coda del cane
448	produce	produrre	This year we are going to produce a new wine	Quest’anno produrremo un nuovo vino
449	fact	fatto	These facts have clear consequences	Questi fatti hanno conseguenze evidenti
450	street	strada	The street in front of the school is closed	La strada di fronte alla scuola è chiusa
451	inch	pollice	How many centimetres is a inch?	Quanti centimetri è un pollice?
452	lot	molto	I usually put a lot of sugar in the coffee	Metto sempre molto zucchero nel caffè
453	nothing	niente	I see that nothing has changed	Vedo che nulla è cambiato
454	course	corso	My Russian course is at five o’clock	Il mio corso di russo è alle cinque
455	stay	stare	Stay here, I’ll be right back	Stai qui, torno subito
456	wheel	ruota	Have you ever bought a cheese wheel	Hai mai comprato una ruota di formaggio?
457	full	pieno	Their house is full of books	La loro casa è piena di libri
458	force	forzare	We should force the door	Dovremmo forzare la porta
459	blue	blu	Your eyes are blue like the sea	I tuoi occhi sono blu come il mare
460	object	oggetto	Which is the object of the conversation?	Qual è l’oggetto della conversazione?
461	decide	decidere	Parents have to decide for their kids	I genitori devono decidere per i propri figli
462	surface	superficie	Today the surface of the sea is flat	Oggi la superficie del mare è piatta
463	deep	profondo	The Pacific Ocean is the deepest of the world	L’Oceano Pacifico è il più profondo al mondo
464	moon	luna	Unfortunately the moon is behind the clouds	Sfortunatamente la luna è dietro le nuvole
465	island	isola	Islands make me feel claustrophobic	Soffro di claustrofobia sulle isole
466	foot	piede	You are right on my foot	Sei proprio sul mio piede
467	yet	ancora	Aren’t they here yet?	Non sono ancora arrivati?
468	busy	occupato	The boss is busy, try to call later	Il capo è impegnato, provi a chiamare più tardi
469	test	test	Tomorrow I have my Russian test	Domani ho l’esame di russo
470	record	record	Who can memorize a bunch of cards in a record time?	Chi riesce a memorizzare un mazzo di carte in un tempo record?
471	boat	barca	Fishermen usually use small boats	I pescatori di solito usano piccole barche
472	common	comune	I’m still wondering what the hell do we have in common	Mi chiedo ancora cosa diavolo abbiamo in comune
473	gold	oro	The ring is available both in red or white gold	L’anello è disponibile in oro rosso o bianco
474	possible	possibile	Is it possible to rent a car?	E’ possibile noleggiare una macchina?
475	plane	aereo	There are no seats left on the plane	Non ci sono più posti liberi in aereo
476	age	età	At what age did you get the driving licence?	A che età hai preso la patente?
477	dry	secco, asciutto	Is the soup too dry?	E’ troppo asciutta la minestra?
478	wonder	chiedersi	I wonder why are you so nervous	Mi chiedo perché tu sia così nervoso
479	laugh	ridere	The way you laugh is contagiuos	Hai una risata contagiosa
480	thousand	mille	A live a thousand miles from here	Vivo a mille miglia da qui
481	ago	fa	I moved here ten years ago	Mi sono trasferito qui dieci anni fa
482	ran	passato di run	The thief ran away so fast that he could escape	Il ladro è corso via così velocemente che è riuscito a scappare
483	check	controllo	I need to check your passport	Devo controllare il suo passaporto
484	game	gioco	There are a lot of new pc games	Ci sono un sacco di nuovi giochi per il pc
485	shape	forma	My mother is in really in good shape	Mia madre è davvero in gran forma
486	yes	sì	Can I go out with Jessica? Please, say yes!	Posso uscire con Jessica? Ti prego, di’ di sì!
487	hot	caldo	We had a hot june this year	Quest’anno giugno è stato molto caldo
488	miss	mancare	I miss my father so much	Mi manca così tanto mio padre
489	brought	passato di bring	I brought you the articles you asked me	Ti ho portato gli articoli che mi hai chiesto
490	heat	riscaldamento	Is the heat on?	E’ acceso il riscaldamento?
491	snow	neve	This week we had ten centimetres of snow	Questa settimana sono caduti dieci centimetri di neve
492	bed	letto	Fred usually goes to bed at 11.00	Fred va sempre a letto alle 11.00
493	bring	portare	It’s your turn to bring the kids to school	Porta i bambini a scuola, è il tuo turno
494	sit	sedersi	Sit down and enjoy the show!	Sedetevi e godetevi lo spettacolo!
495	perhaps	forse	He won’t tell me, perhaps he will tell you	Forse lo dirà a te, non a me
496	fill	riempire	Fill my glass with a good wine	Riempimi il bicchiere con del buon vino
497	east	est	I live east of the river	Vivo a est del fiume
498	weight	peso	Grandmother stars feeling the weight of the years	La nonna inizia a sentire il peso degli anni
499	language	linguaggio	How many languages do you speak?	Quante lingue parli?
500	among	tra, in mezzo	Please, talk among yourselves	Per favore parlate tra voi
